"text","title"
"O holy night, the stars are brightly shining
It is the night of the dear Saviour’s birth
Long lay the world in sin and error pining
Till He appeared and the soul felt its worth
A thrill of hope, the weary world rejoices
For yonder breaks a new and glorious morn

Fall on your knees, O hear the angel voices
O night divine, O night when Christ was born
O night, O holy night, O night divine

Led by the light of faith serenely beaming
With glowing hearts by His cradle we stand
So led by light of a star sweetly gleaming
Here come the Wise Men from Orient land
The King of kings lay thus in lowly manger
In all our trials born to be our friend

He knows our need, to our weakness is no stranger
Behold your King, before him lowly bend
Behold your King, before him lowly bend

Truly He taught us to love one another
His law is love and His gospel is peace
Chains shall He break, for the slave is our brother
And in His name all oppression shall cease
Sweet hymns of joy in grateful chorus raise we
Let all within us praise His holy name

Christ is the Lord! O praise His name forever
His power and glory evermore proclaim
His power and glory evermore proclaim","O Holy Night Lyrics"
"O little town of Bethlehem
How still we see thee lie
Above thy deep and dreamless sleep
The silent stars go by
Yet in thy dark streets shineth
The everlasting light
The hopes and fears of all the years
Are met in thee tonight

O morning stars, together
Proclaim the holy birth
And praises sing to God the King
And peace to men on earth
For Christ is born of Mary
And gathered all above
While mortals sleep the angels keep
Their watch of wondering love

How silently, how silently
The wondrous gift is given
So God imparts to human hearts
The blessings of His Heaven
No ear may hear His coming
But in this world of sin
Where meek souls will receive Him still
The dear Christ enters in

Where children pure and happy
Pray to the blessed Child
Where Misery cries out to Thee
Son of the Mother mild
Where Charity stands watching
And faith holds wide the door
The dark night wakes, the glory breaks
And Christmas comes once more

O holy Child of Bethlehem
Descend to us we pray
Cast out our sin and enter in
Be born in us today
We hear the Christmas angels
The great glad tidings tell
O, come to us, abide with us
Our Lord Emmanuel!","O Little Town of Bethlehem Lyrics"
"Oh happy day
Oh happy day
Oh happy day
Oh happy day

Oh happy day (Oh happy day)
Oh happy day (Oh happy day)
When Jesus born (When Jesus born)
When Jesus born (When Jesus born)
When Jesus born (When Jesus born)
On Christmas day (On Christmas day)
Oh happy day (Oh happy day)

Oh happy day (Oh happy day)
Oh happy day (Oh happy day)
When Jesus born (When Jesus born)
When Jesus born (When Jesus born)
When Jesus born (When Jesus born)
On Christmas day (Oh happy day)

He taught me how to love 
Hope and pray, hope and pray
And live happily every, every day, every day

Oh, oh happy day (Oh happy day)
Oh happy day (Oh happy day)
When Jesus born (When Jesus born)
When Jesus born (When Jesus born)
When Jesus born, (When Jesus born)
On Christmas day (Oh happy day)

You know  I’m taking about happy days (Oh happy day)
Sing it, sing it, sing it, all now (Oh happy day)
Oh Jesus born (Oh happy day)
On Christmas day (Oh happy day)
Mmmm, oh happy day! ","Oh Happy Day, On Christmas Day Lyrics"
"Once in royal David’s city
Stood a lowly cattle shed,
Where a mother laid her baby
In a manger for His bed;
Mary was that mother mild,
Jesus Christ her little child.

He came down to earth from heaven,
Who is God and Lord of all,
And His shelter was a stable,
And His cradle was a stall;
With the poor, and mean, 
and lowly,
Lived  on earth our Saviour holy.

And through all His 
wondrous childhood
He would honour and obey,
Love and watch the lowly Maiden
In whose gentle arms He lay;
Christian children all must be
Mild, obedient,  good as He.

For He is our childhood's pattern;
Day by day, like us, He grew;
He was little, weak, and helpless,
Tears and smiles, like us He knew;
And He cares when we are sad,
And he shares when we are glad.

And our eyes at last shall see Him,
Through His own redeeming love;
For that Child so dear and gentle,
Is our Lord in heaven above:
And He leads His children on,
To the place where He is gone.

Not in that poor lowly stable,
With the oxen standing by,
We shall see Him; but in heaven,
Set at God's right hand on high;
Where like stars His children crowned
All in white shall wait around.","Once in Royal David's City Lyrics"
"I am a Pohutukawa seed,
Plant me in the ground and water me.
Plenty of sunshine is what I need,
Then guess what you will see?
Out will shoot a tiny twig
And it will continue to grow so big,
Beautiful flowers of whero,
The native tree of Aotearoa

Chorus

Pohutukawa tree, Pohutukawa tree,
New Zealand’s Christmas tree,
You fill my heart with aroha,
The native tree of Aotearoa","Pohutukawa Tree Lyrics"
"I am a Pohutukawa seed,
Plant me in the ground and water me.
Plenty of sunshine is what I need,
Then guess what you will see?
Out will shoot a tiny twig
And it will continue to grow so big,
Beautiful flowers of whero,
The native tree of Aotearoa.

Chorus
Pohutukawa tree, Pohutukawa tree,
New Zealand’s Christmas tree,
You fill my heart with aroha,
The native tree of Aotearoa.

He kakano Pohutukawa
Poua ki te whenua
Nga hihi o te ra, hei oranga
Hihiri pupuke, te kune e.
He ira ki te whai ao
Ka tipu, tu, ka roa
Uhia I te raukura
Ko koe no Aotearoa.
Tu mai ra Pohutukawa
Tu whakahi ki te ao
Pupu ake ko te aroha
Ko koe no Aotearoa.

Repeat chorus","Pohutukawa Tree Waiata Lyrics"
"Pop, bang, crack! goes the Christmas cracker,
Pop, bang, crack! goes the Christmas cracker,
Pop, bang, crack! goes the Christmas cracker,
When we pull it open.
POP!

Pop, bang, crack! goes the Christmas cracker,
Pop, bang, crack! goes the Christmas cracker,
Pop, bang, crack! goes the Christmas cracker,
When we pull it open.
BANG!

Pop, bang, crack! goes the Christmas cracker,
Pop, bang, crack! goes the Christmas cracker,
Pop, bang, crack! goes the Christmas cracker,
When we pull it open.
CRACK!","Pop Bang Crack Lyrics"
"Ring, ring, ring the bells
Ring them loud and clear
To tell the children everywhere
That Christmas time is here!
To tell the children everywhere
That Christmas time is here! 
To tell the children everywhere
That Christmas time is here!
To tell the children everywhere
That Christmas time is here!

Ring, ring, ring the bells
Ring them loud and clear
To tell the children everywhere
That Christmas time is here!
To tell the children everywhere
That Christmas time is here!
To tell the children everywhere
That Christmas time is here!
To tell the children everywhere
That Christmas time is here!","Ring Ring Ring the Bells Lyrics"
"You know Dasher and Dancer
And Prancer and Vixen
Comet and Cupid 
And Donner and Blitzen
But do you recall
The most famous reindeer of all?

Rudolph the Red-Nosed Reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glows

All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games

Then one foggy Christmas Eve
Santa came to say
“Rudolph with your nose so bright
Won’t you guide my sleigh tonight?”

Then how the reindeer loved him
As they shouted out with glee (yipee)
“Rudolph the Red-Nosed Reindeer
You’ll go down in history”","Rudolph the Red Nosed Reindeer Lyrics"
"Oh, you better watch out
You better not cry
You better not pout
I'm telling you why
Santa Claus is coming to town
 
Oh, he's making a list 
And he's checking it twice
He's gonna find out who's naughty or nice
Santa Claus is coming to town
 
Oh, he sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake
 
Oh, you better watch out
You better not cry
You better not pout
I'm telling you why
Santa Claus is coming to town
 
Santa Claus is coming to town!
Santa Claus is coming to town!
Santa Claus is coming to town!

He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake

Oh, you better watch out
You better not cry
You better not pout
I'm telling you why

Santa Claus is coming to town!
Santa Claus is coming to town!
Santa Claus is coming to town!

Oh, You better watch out
You better not cry
You better not pout
I'm telling you why

Santa Claus is coming to town!
Santa Claus is coming to town!
Santa Claus is coming to town!
Santa Claus is coming to town!","Santa Claus is Coming to Town"
"Santa got stuck up the chimney,
“Oh, I don’t know what to do!”
So he wiggled and he wobbled
And he wobbled and he wiggled
And we pushed and we pushed
Till he popped right through.
Now everyone can have a Merry Christmas!

Repeat","Santa Got Stuck Up the Chimney Lyrics"
"He has a red, red coat
And a red, red hat,
His boots are black
And he carries a sack.
He has a twinkle in his eye
And a friendly smile,
And his name is Santa Claus.

“One more time!”

He has a red, red coat
And a red, red hat,
His boots are black
And he carries a sack.
He has a twinkle in his eye
And a friendly smile,
And his name is Santa Claus.

“Let’s hear it again now ...”
And his name is SANTA CLAUS!","Santa He Has a Red Red Coat Lyrics"
"Silent night, holy night
All is calm, all is bright
Round yon Virgin Mother and Child
Holy infant so tender and mild
Sleep in heavenly peace
Sleep in heavenly peace

Silent night, holy night
Shepherds quake at the sight
Glories stream from heaven afar
Heavenly hosts sing Alleluia
Christ, the Saviour is born
Christ, the Saviour is born

Silent night, holy night
Son of God, love’s pure light
Radiant beams from Thy holy face
With the dawn of redeeming grace
Jesus, Lord, at Thy birth
Jesus, Lord, at Thy birth

Silent night, holy night
All is calm, all is bright
Round yon Virgin Mother and Child
Holy infant so tender and mild
Sleep in heavenly peace
Sleep in heavenly peace","Silent Night Lyrics"
"The first Noel the angels did say
Was to certain poor shepherds in fields as they lay
In fields where they lay keeping their sheep
On a cold winter’s night that was so deep

Noel, Noel, Noel, Noel
Born is the King of Israel

They looked up and saw a star
Shining in the east, beyond them far
And to the earth it gave great light
And so it continued both day and night

Noel, Noel, Noel, Noel
Born is the King of Israel

And by the light of that same star
Three Wise Men came from country far
To seek for a King was their intent
And to follow the star wherever it went

Noel, Noel, Noel, Noel
Born is the King of Israel

This star drew nigh to the north-west
O’er Bethlehem it took its rest
And there it did both stop and stay
Right over the place where Jesus lay

Noel, Noel, Noel, Noel
Born is the King of Israel

Then entered in those Wise Men three
Fell reverently upon their knee
And offered there in his presence
Their gold and myrrh and frankincense

Noel, Noel, Noel, Noel
Born is the King of Israel

Then let us all with one accord
Sing praises to our heavenly Lord
That hath made heaven and earth of naught
And with his blood mankind hath bought

Noel, Noel, Noel, Noel
Born is the King of Israel","The First Noel Lyrics"
"Jesus our brother, kind and good
Was humbly born in a stable rude
And the friendly beasts around Him stood
Jesus our brother, kind and good

‘I,’ said the donkey, shaggy and brown
‘I carried His mother up hill and down
I carried her safely to Bethlehem town'
‘I,’ said the donkey, shaggy and brown

‘I,’ said the cow all white and red
‘I gave Him my manger for His bed
I gave Him my hay to pillow His head’
‘I,’ said the cow all white and red

‘I,’ said the sheep with curly horn
‘I gave Him my wool for His blanket warm
He wore my coat on Christmas morn’
‘I,’ said the sheep with curly horn

‘I,’ said the dove from the rafters high
‘I cooed Him to sleep so He would not cry
We cooed Him to sleep, my mate and I’
‘I,’ said the dove from the rafters high

Thus every beast by some good spell
In the stable dark was glad to tell
Of the gift he gave Emmanuel
The gift he gave Emmanuel

‘I,’ was glad to tell
Of the gift he gave Emmanuel
The gift he gave Emmanuel
Jesus our brother, kind and good","The Friendly Beasts Lyrics"
"The Virgin Mary had a baby boy
The Virgin Mary had a baby boy
The Virgin Mary had a baby boy
And they say that His name was Jesus

He come from the glory
He come from the glorious kingdom
He come from the glory
He come from the glorious kingdom
Oh yes, believer! Oh yes, believer!
He come from the glory
He come from the glorious kingdom

The angels sang when the baby born
The angels sang when the baby born
The angels sang when the baby born
And proclaimed Him the Saviour Jesus

He come from the glory
He come from the glorious kingdom
He come from the glory
He come from the glorious kingdom
Oh yes, believer! Oh yes, believer!
He come from the glory
He come from the glorious kingdom

The shepherds came where the baby born
The shepherds came where the baby born
The shepherds came where the baby born
And they say that His name was Jesus

He come from the glory
He come from the glorious kingdom
He come from the glory
He come from the glorious kingdom
Oh yes, believer! Oh yes, believer!
He come from the glory
He come from the glorious kingdom

The Wise Men saw where the baby born,
The Wise Men saw where the baby born,
The Wise Men saw where the baby born,
And they say that His name was Jesus.

He come from the glory
He come from the glorious kingdom
He come from the glory
He come from the glorious kingdom
Oh yes, believer! Oh yes, believer!
He come from the glory
He come from the glorious kingdom","The Virgin Mary Had a Baby Boy Lyrics"
"This little light of mine, I'm gonna let it shine.
This little light of mine, I'm gonna let it shine.
This little light of mine, I'm gonna let it shine.
Let it shine, let it shine, let it shine.

Everywhere I go, I'm gonna let it shine.
Everywhere I go, I'm gonna let it shine.
Everywhere I go, I'm gonna let it shine.
Let it shine, let it shine, let it shine.

This little light of mine, I'm gonna let it shine.
This little light of mine, I'm gonna let it shine.
This little light of mine, I'm gonna let it shine.
Let it shine, let it shine, let it shine.

We will sing in peace,
We will sing in harmony. 
We will sing in peace,
We will sing in harmony. 
We will sing in peace,
We will sing in harmony.
We will sing in peace,
We will sing in harmony.  

This little light of mine, I'm gonna let it shine.
This little light of mine, I'm gonna let it shine.
This little light of mine, I'm gonna let it shine.
Let it shine, let it shine, let it shine.

Let it shine around the world, We’re gonna let it shine.
Let it shine around the world, We’re gonna let it shine.
Let it shine around the world!

Let it shine, We’ll all shine, We’ll all shine, We’ll all shine!
Let shine, let it shine, let it shine!","This Little Light of Mine Lyrics"
"Sing ting a ling a jingle and hold me so tight
Sing ting a ling a jingle and kiss me goodnight
Icicles on the window and snow on the ground
Sing ting a ling a jingle till Santa comes round

On the night before Christmas when Santa is near
All the children to dreamland will soon disappear
But there’s one little darling who won’t close an eye
Till you call for the sandman with this lullaby

Sing ting a ling a jingle and hold me so tight
Sing ting a ling a jingle and kiss me goodnight
Icicles on the window and snow on the ground
Sing ting a ling a jingle till Santa comes round

You can rock them to sleep every night of the year
Till the night before Christmas when Yuletide is here
They can fill you with laughter and then make you cry
But your tears turn to gladness with this lullaby

Sing ting a ling a jingle and hold me so tight
Sing ting a ling a jingle and kiss me goodnight
Icicles on the window and snow on the ground
Sing ting a ling a jingle till Santa comes round

It’s the same the world over in all baby land
For a smile is a language we all understand
You can soothe them or scold them your patience they’ll try
But they turn into angels with this lullaby

Sing ting a ling a jingle and hold me so tight
Sing ting a ling a jingle and kiss me goodnight
Icicles on the window and snow on the ground
Sing ting a ling a jingle till Santa comes round","Ting a Ling a Jingle Lyrics"
"Up on the housetop reindeer paws, 
Out jumps Good Old Santa Claus.
Down through the chimney with lots of toys,
All for the little ones Christmas joys.

Ho, ho, ho! Who wouldn't go?
Ho, ho, ho! Who wouldn't go?
Up on the housetop, click, click, click,
Down through the chimney with good Saint Nick!

First comes the stocking of little Nell, 
Oh, dear Santa fill it well.
Give her a dolly that laughs and cries, 
One that will open and shut her eyes.

Ho, ho, ho! Who wouldn't go?
Ho, ho, ho! Who wouldn't go?
Up on the housetop, click, click, click,
Down through the chimney with good Saint Nick!

Next comes the stocking of little Will,
Oh, just see what a glorious fill.
Here is a hammer and lots of tacks,
Also a ball and a whip that cracks.

Ho, ho, ho! Who wouldn't go?
Ho, ho, ho! Who wouldn't go?
Up on the housetop, click, click, click,
Down through the chimney with good Saint Nick!
Up on the housetop, click, click, click,
Down through the chimney with good Saint Nick!","Up on the Housetop Lyrics"
"We all clap hands together,
We all clap hands together,
We all clap hands together,
When Christmas time is here!

We all roll hands together,
We all roll hands together,
We all roll hands together,
When Christmas time is here!

We all shake hands together,
We all shake hands together,
We all shake hands together,
When Christmas time is here!

We all hold hands together,
We all hold hands together,
We all hold hands together,
When Christmas time is here!","We All Clap Hands Together Lyrics"
"We three kings of Orient are
Bearing gifts we traverse afar
Field and fountain, moor and mountain
Following yonder star

O Star of wonder, star of night
Star with royal beauty bright
Westward leading, still proceeding
Guide us to thy perfect light

Born a King on Bethlehem’s plain
Gold I bring to crown Him again
King forever, ceasing never
Over us all to reign.

O Star of wonder, star of night
Star with royal beauty bright
Westward leading, still proceeding
Guide us to thy perfect light

Frankincense to offer have I
Incense owns a Deity nigh
Prayer and praising, voices raising
Worship Him, God most high

O Star of wonder, star of night
Star with royal beauty bright
Westward leading, still proceeding
Guide us to thy perfect light

Myrrh is mine, its bitter perfume
Breathes a life of gathering gloom
Sorrowing, sighing, bleeding, dying
Sealed in the stone-cold tomb

O Star of wonder, star of night
Star with royal beauty bright
Westward leading, still proceeding
Guide us to thy perfect light

Glorious now behold Him arise
King and God and sacrifice
Heaven sings, 'Alleluia!'
‘Alleluia!’ the Earth replies

O Star of wonder, star of night
Star with royal beauty bright
Westward leading, still proceeding
Guide us to thy perfect light","We Three Kings Lyrics"
"We wish you a Merry Christmas
We wish you a Merry Christmas
We wish you a Merry Christmas
And a Happy New Year!

Good tidings we bring to you and your kin.
We wish you a merry Christmas
And a Happy New Year!

Oh, bring us some figgy pudding
Oh, bring us some figgy pudding
Oh, bring us some figgy pudding
And bring it right here!

Good tidings we bring to you and your kin.
We wish you a merry Christmas
And a Happy New Year!

We won’t go until we get some
We won’t go until we get some
We won’t go until we get some
So bring it right here!

Good tidings we bring to you and your kin.
We wish you a merry Christmas
And a Happy New Year!

We all like our figgy pudding
We all like our figgy pudding
We all like our figgy pudding
With all its good cheer!

Good tidings we bring to you and your kin
We wish you a merry Christmas
And a Happy New Year!

We wish you a Merry Christmas
We wish you a Merry Christmas
We wish you a Merry Christmas
And a Happy New Year!","We Wish You a Merry Christmas Lyrics"
"What child is this, who, laid to rest
On Mary’s lap is sleeping
Whom angels greet with anthems sweet
While shepherds watch are keeping?
This, this is Christ the King
Whom shepherds guard and angels sing
Haste, haste to bring Him praise
The Babe, the Son of Mary!

Why lies He in such mean estate
Where ox and ass are feeding?
Come, have no fear; God’s son is here
His love all loves exceeding
Nails, spear shall pierce Him through
The Cross He bore for me, for you
Hail, hail, the Saviour comes
The Babe, the Son of Mary!

So bring Him incense, gold and myrrh
Come, peasant, king, to own Him
The King of kings salvation brings
Let loving hearts enthrone Him
Raise, raise the song on high
While Mary sings a lullaby
Joy, joy, for Christ is born
The Babe, the Son of Mary!
","What Child is This? Lyrics"
"When Santa comes to my house,
I would like to peek.
But I know he’ll never come
Until I’m fast asleep!

When Santa comes to my house,
I would like to peek.
But I know he’ll never come
Until I’m fast asleep!","When Santa Comes to my House Lyrics"
"When Santa got stuck up the chimney
He began to shout
“You boys and girls won’t get any toys
If you don’t pull me out
My beard is black, there’s soot in my sack
My nose is tickling too”
When Santa got stuck up the chimney
“A-choo! A-choo! A-choo!”

On the eve before Christmas Day
When Santa Claus arrived on his sleigh
Into a chimney he climbed with his sack
But he was so fat he couldn’t get back
Oh, what a terrible plight!
He stayed up there all night

When Santa got stuck up the chimney
He began to yell
“Oh, hurry please it’s oh, such a squeeze
The reindeer’s stuck as well!
His head’s up there, in the cold night air
Now Rudolph’s nose is blue!”
When Santa got stuck up the chimney
“A-choo! A-choo! A-choo!”

Rudolph tugged with all of his might
But Santa Claus was stuck very tight
He wriggled and jiggled
Then cried with a frown
“I’ll never get up, I’ll never get down!
Oh, what a terrible fuss,
We should have come by bus!”

When Santa got stuck up the chimney
He began to shout
“You boys and girls won’t get any toys
If you don’t pull me out
My beard is black, there’s soot in my sack
My nose is tickling too”
When Santa got stuck up the chimney
“A-choo! A-choo! A-choo!”
“A-choo! A-choo! A-choo!""","When Santa Got Stuck Up the Chimney Lyrics"
"While shepherds watched their flocks by night
All seated on the ground
The angel of the Lord came down
And glory shone around

‘Fear not,’ he said, for mighty dread
Had seized their troubled minds
Glad tidings of great joy I bring
To you and all mankind

To you in David’s town, this day
Is born of David’s line
The Saviour who is Christ the Lord
And this shall be the sign

The heavenly Babe you there shall find
To human view displayed
And meanly wrapped in swaddling bands
And in a manger laid

Thus spake the seraph, and forthwith
Appeared a shining throng
Of angels praising God, who thus
Addressed their joyful song

All glory be to God on high
And to the earth be peace
Goodwill henceforth from heaven to men
Begin and never cease!","While Shepherds Watched Their Flocks By Night Lyrics"
